DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2010-07-26T00:00:00.000Z,461,1238,819,0.053
2010-07-27T00:00:00.000Z,471,771,412,0.05675
2010-07-28T00:00:00.000Z,392,674,326,0.058
2010-07-29T00:00:00.000Z,389,530,204,0.0635
2010-07-30T00:00:00.000Z,348,583,270,0.064
2010-07-31T00:00:00.000Z,317,475,188,0.062445
2010-08-01T00:00:00.000Z,397,620,272,0.0625
2010-08-02T00:00:00.000Z,390,627,281,0.06165
2010-08-03T00:00:00.000Z,653,974,606,0.062
2010-08-04T00:00:00.000Z,460,731,323,0.059655
2010-08-05T00:00:00.000Z,595,819,479,0.0595
2010-08-06T00:00:00.000Z,380,638,343,0.06155
